141,USA,Desert Aircraft,DA-150,two-stroke,3.6,12.3,12300, kW,Brumby,BAE,Systems,UK,,,
142,USA,Desert Aircraft,DA-50-R,two-stroke,1.4,3.7,3700, kW,,,,,,,
150,USA,Herbrandson,433,two-stroke,13.9,28.3,28300, kW,,,,,,,
151,USA,Herbrandson,580,two-stroke,16.5,27,27000, kW,,,,,,,
152,USA,Herbrandson,Dyad 290,two-stroke,7.7,19,19000, kW,,,,,,,
153,USA,Herbrandson,Dyad 290B,two-stroke,10.2,19,19000, kW,,,,,,,
154,USA,Herbrandson,370,two-stroke,9.7,23.9,23900, kW,,,,,,,
159,USA,M-Dot,TPR 80-1,turboprop,16.3,70.8,70800, kW,,,,,,,
170,USA,Teledyne,Continental IO-240-B7B,four-stroke,92,92,92000, kW,Eagle,ARV,CTRM.,Malaysia,,,
174,USA,Textron,Lycoming )-320,four-stroke,120,119,119000, kW,,,,,,,
184,USA,Williams,International WTS117,turboprop,32.7,93.2,93200, kW,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,1.34,,,,,,,,,,,
,,,,275,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
12, Canada, Pratt & Whitney, PT6A-67, turboprop,237,895,,kW, Eitan IAI. Israel,,,,,,
13, Canada, Pratt & Whitney, PW200/55, turboprop,110,478,,kW, EagleEye Bell Helicopter. USA,,,,,,
137,USA,Alturdyne,T62 derivatives,turboprop,56,186,, kW,,,,,,,
