Latitude,perc70,perc75,perc80,perc85,perc90,perc95,perc99
0,7.35699740186686,7.84094417084344,8.36728368206746,8.98578514159181,9.78601824461734,10.9830534430929,13.2360127502021
1,7.31736380292574,7.80766436361245,8.34073948531962,8.9811375502451,9.76698225234405,10.9159672235236,13.1998472332842
2,7.24185908001122,7.72955102428813,8.2623500769685,8.90418891527806,9.68387160960128,10.8358380540145,13.0818420733192
3,7.12591977044308,7.59868787794128,8.13649866484743,8.77167141333802,9.57212601066888,10.754542983466,12.9642839186007
4,6.99373881302386,7.48048474458425,8.01545191888377,8.65201314485907,9.5025541162407,10.7407126008022,13.0229907484773
5,6.88008862989951,7.36640348172814,7.90719049159465,8.55649428044549,9.42792018902479,10.7137179747602,13.093129311603
6,6.79563830237756,7.28825352196976,7.84782061876858,8.51547338052866,9.38926218272042,10.7201466224008,13.1410206988429
7,6.72384966941626,7.23469481027873,7.82360536245562,8.50925949605839,9.40651780747923,10.7771835524571,13.3945547636289
8,6.7025045358522,7.20915167202591,7.79060594118348,8.4970760015228,9.47503765526171,10.913393568852,13.726549430432
9,6.69858981053962,7.22671868808882,7.8406454468806,8.57297766639728,9.57664561744555,11.1684602964268,14.0952236900769
10,6.70911653448148,7.26283630226703,7.91259879666675,8.72859065726955,9.78829242775707,11.445280692999,14.5740309485414
11,6.82655509712867,7.40089641467246,8.07948452526445,8.88943326532258,9.99127064010568,11.7369502964166,15.0077736727787
12,6.98243449763102,7.56406159989044,8.26329962938735,9.1074332921737,10.2537334649086,12.0355319236683,15.5217523064875
13,7.18435195640498,7.79295202025844,8.48558157839248,9.35950281778925,10.5215792257545,12.3410094350088,16.0499922161783
14,7.42080394409103,8.04659289700616,8.77686496664551,9.65640123350116,10.8530937261307,12.7868323036092,16.4396382452823
15,7.70438662230696,8.367432260905,9.12013886691065,10.0426272577612,11.2885506842822,13.2605443014608,17.0984238612916
16,8.06034341616103,8.76204734987802,9.54994239699036,10.5145800240249,11.833846390738,13.9244381974315,18.0368765974493
17,8.51240032320559,9.2356395217195,10.0825869888359,11.1265860190307,12.5206977776448,14.7994372863896,19.1590464654163
18,9.07496229378985,9.85956609209026,10.7777091170941,11.9098129111017,13.3712941660929,15.8510140608611,20.1799252259776
19,9.74279472832144,10.6116409764316,11.6270444087209,12.8157921111846,14.4272687979576,16.9624390311666,21.2843922655771
20,10.4978797389729,11.433762023646,12.5396252687143,13.8750986942849,15.5344264951057,18.0633864412385,22.3971074925607
21,11.3313359079964,12.3394029035559,13.5229510298564,14.8921380867037,16.5742716056343,19.0775193791284,23.6949227127963
22,12.262202801362,13.2963730431379,14.4734626343493,15.8588714749473,17.5726343885409,20.1836975849962,24.9265191885866
