Latitude,perc70,perc75,perc80,perc85,perc90,perc95,perc99
0,9.06535113912861,9.64422561509654,10.2728907215799,10.9842048802391,11.8504724302807,13.1093634475925,15.5509496599975
1,9.11772112344422,9.67949849265728,10.2851736694464,10.9663392577654,11.8080415788496,13.0412935645645,15.409135765539
2,9.04193281170556,9.57765323172255,10.1578503262797,10.8138155481533,11.6349042895227,12.8406882974686,15.1498744010551
3,8.85258305617736,9.36689664805942,9.93499879188485,10.576131075312,11.3693285184357,12.5447210711139,14.9128552261955
4,8.63608611308239,9.14642372879629,9.70545852632181,10.3538970621324,11.1356138937154,12.3346751803421,14.7663106461901
5,8.47013077987555,8.9812294049394,9.53725158569699,10.1890036497121,11.0014688198197,12.2307010420875,14.7078535345865
6,8.41688001112373,8.930891585898,9.49252046548777,10.1548537536775,11.0026977888677,12.2896339220583,14.923441432483
7,8.50106821075255,9.02348658532767,9.61591016385685,10.3230995514212,11.2057108004677,12.58043757707,15.3999426703893
8,8.68921844018836,9.22714088667245,9.83632033242258,10.5782043820133,11.538334871738,13.0383967044301,16.1581212065608
9,8.91467524480144,9.49025674224088,10.1383174909083,10.923137513106,11.938297055634,13.5910978511896,17.035392986434
10,9.11768809011158,9.73003849769976,10.4296435034602,11.2794548374325,12.4030729434812,14.1641893752932,17.873500789027
11,9.32574773627997,9.96813501078916,10.7048839501767,11.6076136090884,12.7915402561139,14.6378802734147,18.4923783805129
12,9.48323470091047,10.1582268928787,10.9279378856819,11.8679410874603,13.076181103103,14.9829435823148,18.954116292165
13,9.5421608703017,10.2420968949196,11.0464802328319,12.0167305261052,13.2647213237021,15.2077365454801,19.24506181374
14,9.46814219806742,10.1888724906778,11.0146469060386,11.989058529824,13.2673325701494,15.2434119463827,19.200299607244
15,9.29691412588696,10.01168682265,10.8395252728479,11.8085764647444,13.0855695389732,15.1263257140476,19.0651463877749
16,8.97796708792745,9.67772813420926,10.4960381606325,11.4810119236308,12.7692605290261,14.8564448314663,18.8335924019028
17,8.65150314540497,9.31881697846603,10.0969101350256,11.0626474540179,12.3838568258801,14.4335924246223,18.5268287235601
18,8.33862169974189,8.98180599376278,9.72802159294163,10.6443696707003,11.9163285386065,13.9644418282251,18.1667242794855
19,8.06683877810699,8.6955538932777,9.41874892613053,10.2833233742614,11.4586783289842,13.4819185793295,17.8267832144624
20,7.85515948297905,8.45635274845392,9.15035790424264,9.99536729546666,11.1210080947791,13.042890694453,17.2760489958299
21,7.68850047554229,8.26715237579291,8.93736898478475,9.75649255872244,10.8419506977641,12.6749892356518,16.7898510635273
22,7.52506792429299,8.09854699755904,8.74703386019418,9.53419522054989,10.5957285269299,12.33311438071,16.3154651963232
23,7.35708642894287,7.91297067435895,8.55272912654753,9.34386049996847,10.3956008592964,12.1389900493315,16.106818349058
24,7.26206758330906,7.82466297254696,8.4790425528749,9.2778690911006,10.3230646676876,12.0967042601504,16.0698233307107
25,7.2703278166772,7.84690126586119,8.51624279836255,9.34059736509972,10.4353011732116,12.2286988807637,16.2422267440347
26,7.36796987745817,7.95506161077242,8.63089636898563,9.46235112617586,10.5707538277501,12.3692068251978,16.2766356630429
27,7.46784324565211,8.07744864823997,8.78262253056176,9.63508202768628,10.7861806134607,12.6167178423328,16.5627634004107
28,7.62414893920863,8.26153678815573,9.00565821255343,9.92606262722918,11.1436337869145,13.0953719092244,17.2752376466695
