Latitude,perc70,perc75,perc80,perc85,perc90,perc95
0,7.67297929624194,8.22938270674022,8.86539558280795,9.61790033108821,10.5932313763366,12.0723552306921
1,7.72522368561161,8.2796042711682,8.91003355285072,9.66270645523254,10.6590627135375,12.1468475671018
2,7.76470709217951,8.32112348477291,8.95893344083721,9.72065727465154,10.7046115528368,12.2171457281769
3,7.79850954315794,8.35492099880236,8.98608744427973,9.74627699753689,10.7349704860683,12.2550879599422
4,7.83406481775115,8.3902972699251,9.01731835872428,9.78652248623854,10.7700619027635,12.3171359596243
5,7.87320003006775,8.43038121265699,9.0641140992357,9.82558742766149,10.8160732421312,12.3916820231088
6,7.90437279514596,8.46864052686615,9.11541222979632,9.88395416108593,10.8846286295628,12.5337885350271
7,7.95300868381215,8.5332640864659,9.19217131318036,9.99235494719997,11.0529458064413,12.7373226917555
8,8.03480163823372,8.62297609010407,9.30609165432446,10.1308129064591,11.2325008864368,12.9967064228332
9,8.10225324617278,8.71659948310302,9.42061765748316,10.2688703301494,11.3978353944939,13.2337964087808
10,8.14745995506792,8.77188900870107,9.49954366045497,10.3933718105831,11.5607971309388,13.407419610943
11,8.21383664820498,8.85948050000257,9.60387330046419,10.5117152127429,11.7188295266943,13.5797257253027
12,8.29345536305407,8.96523747397511,9.73249417025587,10.6676875270102,11.8956282598703,13.7904677214105
13,8.39383883604691,9.0745940742208,9.87582878824496,10.8415823330773,12.0927261634964,14.0190856305795
14,8.48082981143535,9.18268223515567,9.99709367968263,11.0041253029519,12.315153380381,14.3567584210216
15,8.59544459256981,9.32188073923451,10.1636606723018,11.1892793948188,12.5664219344133,14.7289116002013
16,8.76638991578749,9.52859253692937,10.411489069177,11.4905621669116,12.9354883162452,15.2419434038333
17,8.96202535161103,9.76879479078726,10.7174557719595,11.896452177263,13.5129156916292,16.0641971794152
18,9.25228176757815,10.1065328899602,11.1295999072266,12.4554079056157,14.3160826421436,17.2218081077687
19,9.64908417821922,10.5944862764913,11.7530520624107,13.2762085550517,15.3552686381236,18.6142948463714
20,10.2180361205923,11.2726893662814,12.5856375048849,14.2773113791721,16.567386083135,20.3119588333116
21,10.8981693396479,12.1251885821997,13.6107727829057,15.4774165462264,18.0603949977391,22.0766003618304
22,11.646339003214,13.0673982804989,14.779318238075,16.8892291977618,19.6474089501283,23.8878880075964
23,12.457746459112,14.0509123733793,15.9577439746867,18.2887045699807,21.3252298766517,25.6851029351497
24,13.2920114381611,15.0290005409871,17.1038744805264,19.5719758982454,22.8268857259762,27.4835677451356
25,14.0861929102175,15.9568491718214,18.1540211745815,20.7962978093384,24.1768750140315,29.2244034515258
26,14.848321826215,16.7461414847208,18.998632694134,21.7038494092566,25.2227348268154,30.5064637761155
27,15.4886256893667,17.3889215228793,19.6150943123609,22.3448113235615,25.9505304497745,31.4390759526462
28,15.7931143986643,17.6285526492093,19.838078914244,22.5667811474395,26.3159417206432,32.1112300560853
29,16.1205612489724,17.939694500167,20.1240132704602,22.9176240428517,26.7820506322853,32.7758882730942
30,16.5798930066386,18.4456993867755,20.6485620191966,23.412122870119,27.3162608172234,33.3459418766223
31,17.099851775291,18.9640844175061,21.1996061538557,23.9647028288582,27.7054235361016,33.7767315035917
32,17.5756846412559,19.4443402866344,21.7044517282461,24.5176362182405,28.2144634900115,34.1038414813261
33,18.0374171196951,19.9328555107063,22.1576148843169,24.9949825309055,28.7430250851873,34.3866310258854
34,18.4776180416058,20.359851995665,22.6115429771961,25.4404366973166,29.1367094322032,34.7654062568033
35,18.9198218772634,20.8278949424053,23.0944618726119,25.9209178549328,29.5653608903546,35.1538182009087
36,19.3039070486509,21.2549179174275,23.5670992903715,26.4294200709761,29.9948395772863,35.4452113629458
37,19.788491522127,21.7444700803919,24.0453713010481,26.8285264567911,30.3382840443464,35.8858781016333
38,20.2244920220561,22.1404644370991,24.3984008448542,27.1378412945446,30.6861567314257,36.3308126188978
39,20.6177029514711,22.5125404984382,24.7232885472449,27.5241175971302,31.1617485192581,36.7764787144873
40,21.0810311430461,22.9568106825366,25.1476750716339,27.8951694605839,31.5325290764373,37.1564520525736
41,21.4608545383393,23.3292945413001,25.5298123053921,28.2246914226865,31.8037389577804,37.5204917800208
42,21.819844520638,23.6956789752313,25.8557914668426,28.5596687716113,32.0792179356149,37.70984860323
43,22.0883161346823,23.9747900101392,26.1136740851545,28.7420707606586,32.2685939586304,37.7463846996126
44,22.3824653357779,24.2302834010197,26.3633417254348,28.9396652233343,32.3386809122854,37.7936442690038
45,22.5477510319031,24.3774554823985,26.4866457091457,29.0463108740198,32.4158888053028,37.7166757392745
46,22.6160919247426,24.4211350974756,26.4900485026088,28.9918639955024,32.2917084904119,37.7521170271838
47,22.6067781111458,24.3873261456726,26.428586019493,28.9284775069509,32.2191026179071,37.695297738723
48,22.5409938269723,24.3430267773726,26.3962158389495,28.8535654373434,32.1069015139858,37.5296380844103
49,22.4361264528557,24.1948848943845,26.2297045798087,28.6850352411254,31.9591878988721,37.2273296656213
50,22.2962182783481,24.032945679664,26.040584861896,28.5167582958952,31.699629570839,36.9602116641089
51,22.1146322759538,23.8478961095715,25.857123276653,28.2381481901719,31.4128784521682,36.6838565556086
52,21.907065444706,23.5948300918484,25.5741275334655,27.9411739399842,31.1469051534572,36.2837604691509
53,21.6427865569309,23.3133417055604,25.2374603998219,27.5773777683191,30.7402824913862,35.8648949032613
54,21.381507329952,22.9886856163646,24.8811934822139,27.2240311307989,30.3628460235039,35.4083747649343
55,21.0545448184066,22.6724518425501,24.5522204432156,26.8705835501062,29.9624101495088,34.996259940983
56,20.6651711538991,22.3103996159207,24.1964356813871,26.5102068283077,29.5801827662359,34.4876477152191
57,20.2299611135228,21.8738962526988,23.7363932425109,26.0009633803102,29.007711020849,33.8748889201724
58,19.7522119987073,21.3568414938545,23.1796289435914,25.3999421699596,28.3793083472949,33.1155308310266
59,19.2249429743839,20.8004922843872,22.5882549055742,24.7775544623687,27.7045946266092,32.350351722192
60,18.6384636824982,20.1797455224833,21.9997635371347,24.158873914716,27.0620931539862,31.6733668898949
61,18.044626630958,19.5968232825474,21.3844367746473,23.5845527387637,26.5042820991342,31.0693771920871
62,17.5074541595976,19.0532194156659,20.8502374711185,23.0231384911818,25.9398793263812,30.4880677167038
63,17.1011818939453,18.5975367469886,20.3585414674024,22.5037558417984,25.3769690418157,29.9012312047717
64,16.7930491865735,18.2555307292072,19.9744483374063,22.0869648823655,24.8548865418822,29.3620010667476
65,16.5254415453605,17.9456801139889,19.6225858984214,21.6604188729507,24.4022089421997,28.7829189394563
66,16.28005859028,17.6571475603707,19.2873213249133,21.2920302463883,23.9866876952196,28.2602492661663
67,16.0578639964593,17.420760289321,19.0191134563361,20.9686485807506,23.6166313550185,27.796606405793
68,15.8834884397703,17.2294393463039,18.7913001475979,20.6910745880297,23.2492334468123,27.3144255146897
69,15.7475481310894,17.0803516931999,18.6249122987209,20.4724492408121,22.9525035307432,26.9353590989701
70,15.624537574447,16.9389632649221,18.4697202121624,20.3141311246382,22.7101493429375,26.5947621614857
